"TIME","GEO","UNIT","WORKTIME","SECTOR","SEX","ISCED11","Value","Flag and Footnotes"
"2015","Bulgaria","Number","Total","Total","Total","Bachelor's or equivalent level","186,702",""
"2015","Bulgaria","Number","Total","Total","Total","Master's or equivalent level","85,634",""
"2015","Bulgaria","Number","Total","Total","Total","Doctoral or equivalent level","6,617",""
"2015","Czech Republic","Number","Total","Total","Total","Bachelor's or equivalent level","236,887",""
"2015","Czech Republic","Number","Total","Total","Total","Master's or equivalent level","133,066",""
"2015","Czech Republic","Number","Total","Total","Total","Doctoral or equivalent level","24,582",""
"2015","Denmark","Number","Total","Total","Total","Bachelor's or equivalent level","195,054",""
"2015","Denmark","Number","Total","Total","Total","Master's or equivalent level","73,790",""
"2015","Denmark","Number","Total","Total","Total","Doctoral or equivalent level","9,939",""
"2015","Germany (until 1990 former territory of the FRG)","Number","Total","Total","Total","Bachelor's or equivalent level","1,792,434",""
"2015","Germany (until 1990 former territory of the FRG)","Number","Total","Total","Total","Master's or equivalent level","988,753",""
"2015","Germany (until 1990 former territory of the FRG)","Number","Total","Total","Total","Doctoral or equivalent level","196,200",""
"2015","Estonia","Number","Total","Total","Total","Bachelor's or equivalent level","36,299",""
"2015","Estonia","Number","Total","Total","Total","Master's or equivalent level","16,012",""
"2015","Estonia","Number","Total","Total","Total","Doctoral or equivalent level","2,903",""
"2015","Ireland","Number","Total","Total","Total","Bachelor's or equivalent level","161,302",""
"2015","Ireland","Number","Total","Total","Total","Master's or equivalent level","28,621",""
"2015","Ireland","Number","Total","Total","Total","Doctoral or equivalent level","8,204",""
"2015","Greece","Number","Total","Total","Total","Bachelor's or equivalent level",":",""
"2015","Greece","Number","Total","Total","Total","Master's or equivalent level",":",""
"2015","Greece","Number","Total","Total","Total","Doctoral or equivalent level",":",""
"2015","Spain","Number","Total","Total","Total","Bachelor's or equivalent level","1,204,409",""
"2015","Spain","Number","Total","Total","Total","Master's or equivalent level","355,097",""
"2015","Spain","Number","Total","Total","Total","Doctoral or equivalent level","32,062",""
"2015","France","Number","Total","Total","Total","Bachelor's or equivalent level","991,175",""
"2015","France","Number","Total","Total","Total","Master's or equivalent level","868,904",""
"2015","France","Number","Total","Total","Total","Doctoral or equivalent level","68,607",""
"2015","Croatia","Number","Total","Total","Total","Bachelor's or equivalent level","100,879",""
"2015","Croatia","Number","Total","Total","Total","Master's or equivalent level","57,895",""
"2015","Croatia","Number","Total","Total","Total","Doctoral or equivalent level","3,130",""
"2015","Italy","Number","Total","Total","Total","Bachelor's or equivalent level","1,076,667",""
"2015","Italy","Number","Total","Total","Total","Master's or equivalent level","710,487",""
"2015","Italy","Number","Total","Total","Total","Doctoral or equivalent level","32,775",""
